"First Name","Gender","Start Date","Last Login Time","Salary","Bonus %","State","Abbreviation"
Douglas,Male,1993-08-06 00:00:00.000,"12:42 PM",97308,6.945,Alabama,AL
Thomas,Male,1996-03-31 00:00:00.000,"6:53 AM",61933,4.17,Alabama,AL
Maria,Female,1993-04-23 00:00:00.000,"11:17 AM",130590,11.858,Alabama,AL
Jerry,Male,2005-03-04 00:00:00.000,"1:00 PM",138705,9.34,Alabama,AL
Larry,Male,1998-01-24 00:00:00.000,"4:47 PM",101004,1.389,Alabama,AL
Dennis,Male,1987-04-18 00:00:00.000,"1:35 AM",115163,10.125,Alabama,AL
Ruby,Female,1987-08-17 00:00:00.000,"4:20 PM",65476,10.012,Alabama,AL
,Female,2015-07-20 00:00:00.000,"10:43 AM",45906,11.598,Alabama,AL
Angela,Female,2005-11-22 00:00:00.000,"6:29 AM",95570,18.523,Alabama,AL
Frances,Female,2002-08-08 00:00:00.000,"6:51 AM",139852,7.524,Alabama,AL
Louise,Female,1980-08-12 00:00:00.000,"9:01 AM",63241,15.132,Alabama,AL
Julie,Female,1997-10-26 00:00:00.000,"3:19 PM",102508,12.637,Alabama,AL
Brandon,Male,1980-12-01 00:00:00.000,"1:08 AM",112807,17.492,Alabama,AL
Gary,Male,2008-01-27 00:00:00.000,"11:40 PM",109831,5.831,Alabama,AL
Kimberly,Female,1999-01-14 00:00:00.000,"7:13 AM",41426,14.543,Alabama,AL
Lillian,Female,2016-06-05 00:00:00.000,"6:09 AM",59414,1.256,Alabama,AL
Jeremy,Male,2010-09-21 00:00:00.000,"5:56 AM",90370,7.369,Alabama,AL
Shawn,Male,1986-12-07 00:00:00.000,"7:45 PM",111737,6.414,Alabama,AL
Diana,Female,1981-10-23 00:00:00.000,"10:27 AM",132940,19.082,Alabama,AL
Donna,Female,2010-07-22 00:00:00.000,"3:48 AM",81014,1.894,Alabama,AL
Lois,,1995-04-22 00:00:00.000,"7:18 PM",64714,4.934,Alabama,AL
Matthew,Male,1995-09-05 00:00:00.000,"2:12 AM",100612,13.645,Alabama,AL
Joshua,,2012-03-08 00:00:00.000,"1:58 AM",90816,18.816,Alabama,AL
,Male,2012-06-14 00:00:00.000,"4:19 PM",125792,5.042,Alabama,AL
John,Male,1992-07-01 00:00:00.000,"10:08 PM",97950,13.873,Alabama,AL
,Male,2012-10-08 00:00:00.000,"1:12 AM",37076,18.576,Alabama,AL
Craig,Male,2000-02-27 00:00:00.000,"7:45 AM",37598,7.757,Alabama,AL
Scott,,1991-07-11 00:00:00.000,"6:58 PM",122367,5.218,Alabama,AL
Terry,Male,1981-11-27 00:00:00.000,"6:30 PM",124008,13.464,Alabama,AL
Benjamin,Male,2005-01-26 00:00:00.000,"10:06 PM",79529,7.008,Alabama,AL
Christina,Female,2002-08-06 00:00:00.000,"1:19 PM",118780,9.096,Alabama,AL
Joyce,,2005-02-20 00:00:00.000,"2:40 PM",88657,12.752,Alabama,AL
,Male,1998-08-21 00:00:00.000,"2:27 PM",122340,6.417,Alabama,AL
Jean,Female,1993-12-18 00:00:00.000,"9:07 AM",119082,16.18,Alabama,AL
Jerry,Male,2004-01-10 00:00:00.000,"12:56 PM",95734,19.096,Alabama,AL
Theresa,Female,2006-10-10 00:00:00.000,"1:12 AM",85182,16.675,Alabama,AL
Rachel,Female,2009-02-16 00:00:00.000,"8:47 PM",142032,12.599,Alabama,AL
Linda,Female,1981-10-19 00:00:00.000,"8:49 PM",57427,9.557,Alabama,AL
Stephanie,Female,1986-09-13 00:00:00.000,"1:52 AM",36844,5.574,Alabama,AL
,Male,2016-01-29 00:00:00.000,"2:33 AM",122173,7.797,Alabama,AL
Michael,Male,2008-10-10 00:00:00.000,"11:25 AM",99283,2.665,Alabama,AL
Christine,,2015-06-28 00:00:00.000,"1:08 AM",66582,11.308,Alabama,AL
Beverly,Female,1998-09-09 00:00:00.000,"8:26 PM",121918,15.835,Alabama,AL
Marilyn,Female,1980-12-07 00:00:00.000,"3:16 AM",73524,5.207,Alabama,AL
Cynthia,Female,1988-11-16 00:00:00.000,"6:54 PM",145146,7.482,Alabama,AL
Roger,Male,1980-04-17 00:00:00.000,"11:32 AM",88010,13.886,Alabama,AL
Bruce,Male,2009-11-28 00:00:00.000,"10:47 PM",114796,6.796,Alabama,AL
Kathy,Female,2005-06-22 00:00:00.000,"4:51 AM",66820,9.0,Alabama,AL
Clarence,Male,1996-03-26 00:00:00.000,"5:57 AM",93581,6.083,Alabama,AL
Chris,,1980-01-24 00:00:00.000,"12:13 PM",113590,3.055,Alabama,AL
Nancy,Female,2000-09-23 00:00:00.000,"8:05 AM",94976,13.83,Alabama,AL
,,2011-12-17 00:00:00.000,"8:29 AM",41126,14.009,Alabama,AL
Todd,Male,1990-02-18 00:00:00.000,"2:41 AM",49339,1.695,Alabama,AL
Alan,,2014-03-03 00:00:00.000,"1:28 PM",40341,17.578,Alabama,AL
Sara,Female,2007-08-15 00:00:00.000,"9:23 AM",83677,8.999,Alabama,AL
Karen,Female,1999-11-30 00:00:00.000,"7:46 AM",102488,17.653,Alabama,AL
Carl,Male,2006-05-03 00:00:00.000,"5:55 PM",130276,16.084,Alabama,AL
Henry,Male,1996-06-26 00:00:00.000,"1:44 AM",64715,15.107,Alabama,AL
Theresa,Female,2010-04-11 00:00:00.000,"7:18 AM",72670,1.481,Alabama,AL
Irene,Female,1997-05-07 00:00:00.000,"9:32 AM",66851,11.279,Alabama,AL
Paula,,2005-11-23 00:00:00.000,"2:01 PM",48866,4.271,Alabama,AL
Denise,Female,2001-11-06 00:00:00.000,"12:03 PM",106862,3.699,Alabama,AL
,Female,2007-06-12 00:00:00.000,"5:25 PM",58112,19.414,Alabama,AL
Matthew,Male,2013-01-02 00:00:00.000,"10:33 PM",35203,18.04,Alabama,AL
Kathleen,,1990-04-11 00:00:00.000,"6:46 PM",77834,18.771,Alabama,AL
Steve,Male,2009-11-11 00:00:00.000,"11:44 PM",61310,12.428,Alabama,AL
Nancy,Female,2012-12-15 00:00:00.000,"11:57 PM",125250,2.672,Alabama,AL
Rachel,Female,1999-08-16 00:00:00.000,"6:53 AM",51178,9.735,Alabama,AL
Jose,Male,2004-10-30 00:00:00.000,"1:39 PM",84834,14.33,Alabama,AL
Irene,,2015-07-14 00:00:00.000,"4:31 PM",100863,4.382,Alabama,AL
Todd,,2003-06-10 00:00:00.000,"2:26 PM",84692,6.617,Alabama,AL
Johnny,Male,2009-11-06 00:00:00.000,"4:23 PM",118172,16.194,Alabama,AL
Bobby,Male,2007-05-07 00:00:00.000,"10:01 AM",54043,3.833,Alabama,AL
Frances,Female,1999-04-04 00:00:00.000,"4:19 PM",90582,4.709,Alabama,AL
